"Time (s)";"Illuminance (lx)"
8.718067627E2;5.000000000E0
8.722063777E2;3.000000000E0
8.724067874E2;5.000000000E0
8.726067391E2;3.000000000E0
8.728068044E2;5.000000000E0
8.738068174E2;3.000000000E0
8.740068284E2;5.000000000E0
8.744070017E2;3.000000000E0
8.746068504E2;5.000000000E0
8.774068217E2;3.000000000E0
8.776070499E2;5.000000000E0
8.794068866E2;3.000000000E0
8.796068884E2;5.000000000E0
8.814070845E2;3.000000000E0
8.816068174E2;5.000000000E0
8.836070126E2;3.000000000E0
8.838067810E2;5.000000000E0
8.842068203E2;3.000000000E0
8.844067130E2;5.000000000E0
8.850068767E2;3.000000000E0
8.852068230E2;5.000000000E0
8.856068265E2;3.000000000E0
8.858068612E2;5.000000000E0
8.860070811E2;3.000000000E0
8.864067770E2;5.000000000E0
8.866068330E2;3.000000000E0
8.868068145E2;5.000000000E0
8.870068441E2;3.000000000E0
1.057406822E3;1.000000000E0
1.057807006E3;3.000000000E0
1.058606886E3;1.000000000E0
1.059006828E3;3.000000000E0
1.059206844E3;1.000000000E0
1.061006987E3;3.000000000E0
1.061206842E3;1.000000000E0
1.062406870E3;3.000000000E0
1.062606789E3;1.000000000E0
1.555406792E3;0.000000000E0
1.555606716E3;1.000000000E0
1.644006890E3;0.000000000E0
1.644206852E3;1.000000000E0
1.645006917E3;0.000000000E0
1.645206705E3;1.000000000E0
1.645406779E3;0.000000000E0
1.645606778E3;1.000000000E0
1.645806709E3;0.000000000E0
1.646006252E3;1.000000000E0
1.646406713E3;0.000000000E0
1.646607032E3;1.000000000E0
1.647407029E3;0.000000000E0
1.647607226E3;1.000000000E0
1.648408761E3;0.000000000E0
1.648606779E3;1.000000000E0
1.648806910E3;0.000000000E0
1.649406840E3;1.000000000E0
1.649606242E3;0.000000000E0
1.650606853E3;1.000000000E0
1.650806261E3;0.000000000E0
1.652206870E3;1.000000000E0
1.652406653E3;0.000000000E0
